time,host_id,belief_compromised,belief_entropy,true_state,true_compromised,belief_error
1,host_044,0.05,0.28639695711595625,benign,0,0.05
1,host_045,0.23054017610195837,0.7789517639659127,benign,0,0.23054017610195837
1,host_046,0.05,0.28639695711595625,benign,0,0.05
1,host_047,0.05,0.28639695711595625,benign,0,0.05
1,host_048,0.05,0.28639695711595625,benign,0,0.05
1,host_049,0.05,0.28639695711595625,compromised,1,0.95
2,host_000,0.05,0.28639695711595625,benign,0,0.05
2,host_001,0.05,0.28639695711595625,suspicious,0,0.05
2,host_002,0.05,0.28639695711595625,benign,0,0.05
2,host_003,0.05,0.28639695711595625,benign,0,0.05
2,host_004,0.999,0.011407757737461145,compromised,1,0.0010000000000000009
2,host_005,0.05,0.28639695711595625,benign,0,0.05
2,host_006,0.05,0.28639695711595625,benign,0,0.05
2,host_007,0.05,0.28639695711595625,benign,0,0.05
2,host_008,0.05,0.28639695711595625,benign,0,0.05
2,host_009,0.05,0.28639695711595625,benign,0,0.05
2,host_010,0.05,0.28639695711595625,benign,0,0.05
2,host_011,0.05,0.28639695711595625,benign,0,0.05
2,host_012,0.05,0.28639695711595625,benign,0,0.05
2,host_013,0.05,0.28639695711595625,benign,0,0.05
2,host_014,0.05,0.28639695711595625,benign,0,0.05
2,host_015,0.05,0.28639695711595625,benign,0,0.05
2,host_016,0.05,0.28639695711595625,benign,0,0.05
2,host_017,0.05,0.28639695711595625,benign,0,0.05
2,host_018,0.05,0.28639695711595625,benign,0,0.05
2,host_019,0.35407069943545205,0.9376510869299901,suspicious,0,0.35407069943545205
2,host_020,0.05,0.28639695711595625,benign,0,0.05
2,host_021,0.641531689299679,0.9414044224913982,compromised,1,0.35846831070032104
2,host_022,0.05,0.28639695711595625,benign,0,0.05
2,host_023,0.05,0.28639695711595625,benign,0,0.05
2,host_024,0.2592021914247608,0.8255400805133224,benign,0,0.2592021914247608
2,host_025,0.05,0.28639695711595625,benign,0,0.05
2,host_026,0.05,0.28639695711595625,benign,0,0.05
2,host_027,0.05,0.28639695711595625,benign,0,0.05
2,host_028,0.05,0.28639695711595625,benign,0,0.05
2,host_029,0.05,0.28639695711595625,benign,0,0.05
2,host_030,0.05,0.28639695711595625,benign,0,0.05
2,host_031,0.7260180584203375,0.8471206205506983,compromised,1,0.2739819415796625
2,host_032,0.05,0.28639695711595625,benign,0,0.05
2,host_033,0.05,0.28639695711595625,benign,0,0.05
2,host_034,0.05,0.28639695711595625,benign,0,0.05
2,host_035,0.27234527300795197,0.84480986184518,benign,0,0.27234527300795197
2,host_036,0.671698662649892,0.9131814353840384,compromised,1,0.328301337350108
2,host_037,0.05,0.28639695711595625,benign,0,0.05
2,host_038,0.05,0.28639695711595625,suspicious,0,0.05
2,host_039,0.28822544106714576,0.8664178854843319,benign,0,0.28822544106714576
2,host_040,0.05,0.28639695711595625,benign,0,0.05
2,host_041,0.05,0.28639695711595625,benign,0,0.05
2,host_042,0.05,0.28639695711595625,benign,0,0.05
2,host_043,0.05,0.28639695711595625,benign,0,0.05
2,host_044,0.05,0.28639695711595625,benign,0,0.05
2,host_045,0.22873477434093878,0.775799202446127,benign,0,0.22873477434093878
2,host_046,0.05,0.28639695711595625,benign,0,0.05
2,host_047,0.05,0.28639695711595625,benign,0,0.05
2,host_048,0.05,0.28639695711595625,benign,0,0.05
2,host_049,0.4742756785853045,0.998089776676022,compromised,1,0.5257243214146955
3,host_000,0.26438931900263907,0.8332979431214107,benign,0,0.26438931900263907
3,host_001,0.05,0.28639695711595625,suspicious,0,0.05
3,host_002,0.05,0.28639695711595625,benign,0,0.05
3,host_003,0.05,0.28639695711595625,benign,0,0.05
3,host_004,0.999,0.011407757737461145,compromised,1,0.0010000000000000009
3,host_005,0.05,0.28639695711595625,benign,0,0.05
3,host_006,0.05,0.28639695711595625,benign,0,0.05
3,host_007,0.05,0.28639695711595625,benign,0,0.05
3,host_008,0.05,0.28639695711595625,benign,0,0.05
3,host_009,0.05,0.28639695711595625,benign,0,0.05
3,host_010,0.05,0.28639695711595625,benign,0,0.05
3,host_011,0.05,0.28639695711595625,benign,0,0.05
3,host_012,0.05,0.28639695711595625,benign,0,0.05
3,host_013,0.05,0.28639695711595625,benign,0,0.05
3,host_014,0.05,0.28639695711595625,benign,0,0.05
3,host_015,0.05,0.28639695711595625,benign,0,0.05
3,host_016,0.05,0.28639695711595625,benign,0,0.05
3,host_017,0.05,0.28639695711595625,benign,0,0.05
3,host_018,0.05,0.28639695711595625,benign,0,0.05
3,host_019,0.3510299924410975,0.9349845636758751,suspicious,0,0.3510299924410975
3,host_020,0.05,0.28639695711595625,benign,0,0.05
3,host_021,0.6356163724066822,0.9462618716603863,compromised,1,0.36438362759331777
3,host_022,0.05,0.28639695711595625,benign,0,0.05
3,host_023,0.05,0.28639695711595625,benign,0,0.05
3,host_024,0.35949683584450226,0.9422647324580935,benign,0,0.35949683584450226
3,host_025,0.05,0.28639695711595625,benign,0,0.05
3,host_026,0.05,0.28639695711595625,benign,0,0.05
3,host_027,0.05,0.28639695711595625,benign,0,0.05
3,host_028,0.05,0.28639695711595625,benign,0,0.05
3,host_029,0.05,0.28639695711595625,benign,0,0.05
3,host_030,0.05,0.28639695711595625,benign,0,0.05
3,host_031,0.7192578778361342,0.8564600344492813,compromised,1,0.28074212216386585
3,host_032,0.05,0.28639695711595625,benign,0,0.05
3,host_033,0.05,0.28639695711595625,benign,0,0.05
3,host_034,0.05,0.28639695711595625,benign,0,0.05
3,host_035,0.27012182027787246,0.8416393863321381,benign,0,0.27012182027787246
3,host_036,0.665481676023393,0.9194762692592313,compromised,1,0.33451832397660697
3,host_037,0.05,0.28639695711595625,benign,0,0.05
3,host_038,0.4429721002125403,0.9905957363279251,compromised,1,0.5570278997874597
3,host_039,0.2858431866564743,0.8632909076198381,benign,0,0.2858431866564743
3,host_040,0.05,0.28639695711595625,benign,0,0.05
3,host_041,0.05,0.28639695711595625,benign,0,0.05
3,host_042,0.05,0.28639695711595625,benign,0,0.05
3,host_043,0.05,0.28639695711595625,benign,0,0.05
3,host_044,0.05,0.28639695711595625,benign,0,0.05
3,host_045,0.2269474265975294,0.7726519098448312,benign,0,0.2269474265975294
3,host_046,0.05,0.28639695711595625,benign,0,0.05
3,host_047,0.05,0.28639695711595625,suspicious,0,0.05
3,host_048,0.05,0.28639695711595625,benign,0,0.05
3,host_049,0.47003292179945144,0.9974072918174024,compromised,1,0.5299670782005486
4,host_000,0.2622454258126127,0.8301158825375113,benign,0,0.2622454258126127
4,host_001,0.05,0.28639695711595625,suspicious,0,0.05
4,host_002,0.20470714611620522,0.7312430733802844,benign,0,0.20470714611620522
4,host_003,0.05,0.28639695711595625,benign,0,0.05
4,host_004,0.999,0.011407757737461145,compromised,1,0.0010000000000000009
4,host_005,0.05,0.28639695711595625,benign,0,0.05
4,host_006,0.05,0.28639695711595625,benign,0,0.05
4,host_007,0.05,0.28639695711595625,benign,0,0.05
4,host_008,0.05,0.28639695711595625,benign,0,0.05
4,host_009,0.05,0.28639695711595625,benign,0,0.05
4,host_010,0.05,0.28639695711595625,benign,0,0.05
4,host_011,0.05,0.28639695711595625,suspicious,0,0.05
4,host_012,0.05,0.28639695711595625,benign,0,0.05
4,host_013,0.05,0.28639695711595625,benign,0,0.05
4,host_014,0.05,0.28639695711595625,benign,0,0.05
4,host_015,0.05,0.28639695711595625,benign,0,0.05
4,host_016,0.05,0.28639695711595625,benign,0,0.05
4,host_017,0.05,0.28639695711595625,benign,0,0.05
4,host_018,0.05,0.28639695711595625,benign,0,0.05
4,host_019,0.3480196925166865,0.9322870274946994,suspicious,0,0.3480196925166865
4,host_020,0.05,0.28639695711595625,benign,0,0.05
4,host_021,0.6297602086826154,0.9508560329065617,compromised,1,0.3702397913173846
4,host_022,0.05,0.28639695711595625,benign,0,0.05
4,host_023,0.05,0.28639695711595625,benign,0,0.05
4,host_024,0.35640186748605723,0.9396558761101728,benign,0,0.35640186748605723
4,host_025,0.05,0.28639695711595625,benign,0,0.05
4,host_026,0.05,0.28639695711595625,benign,0,0.05
4,host_027,0.20711480163364399,0.7359314713673393,suspicious,0,0.20711480163364399
4,host_028,0.05,0.28639695711595625,benign,0,0.05
4,host_029,0.3071375706889612,0.8898415970970055,benign,0,0.3071375706889612
4,host_030,0.05,0.28639695711595625,benign,0,0.05
4,host_031,0.999,0.011407757737461145,compromised,1,0.0010000000000000009
4,host_032,0.05,0.28639695711595625,benign,0,0.05
4,host_033,0.05,0.28639695711595625,benign,0,0.05
4,host_034,0.05,0.28639695711595625,benign,0,0.05
4,host_035,0.2679206020750937,0.8384649807364852,benign,0,0.2679206020750937
4,host_036,0.9118176220180767,0.43037355506529823,compromised,1,0.0881823779819233
4,host_037,0.05,0.28639695711595625,benign,0,0.05
4,host_038,0.7737215206035363,0.7714672306052899,compromised,1,0.22627847939646373
4,host_039,0.28348475478990953,0.8601556916098082,benign,0,0.28348475478990953
4,host_040,0.05,0.28639695711595625,benign,0,0.05
4,host_041,0.05,0.28639695711595625,benign,0,0.05
4,host_042,0.05,0.28639695711595625,benign,0,0.05
4,host_043,0.05,0.28639695711595625,benign,0,0.05
4,host_044,0.05,0.28639695711595625,benign,0,0.05
4,host_045,0.2251779523315541,0.7695102132781523,benign,0,0.2251779523315541
4,host_046,0.05,0.28639695711595625,benign,0,0.05
4,host_047,0.05,0.28639695711595625,suspicious,0,0.05
4,host_048,0.05,0.28639695711595625,benign,0,0.05
4,host_049,0.46583259258145693,0.9966289352952211,compromised,1,0.5341674074185431
5,host_000,0.26012297155448655,0.8269318815568596,benign,0,0.26012297155448655
5,host_001,0.05,0.28639695711595625,suspicious,0,0.05
5,host_002,0.20316007465504315,0.728203399102307,benign,0,0.20316007465504315
5,host_003,0.05,0.28639695711595625,benign,0,0.05
5,host_004,0.999,0.011407757737461145,compromised,1,0.0010000000000000009
5,host_005,0.05,0.28639695711595625,benign,0,0.05
5,host_006,0.05,0.28639695711595625,benign,0,0.05
5,host_007,0.05,0.28639695711595625,benign,0,0.05
5,host_008,0.05,0.28639695711595625,benign,0,0.05
5,host_009,0.05,0.28639695711595625,benign,0,0.05
5,host_010,0.05,0.28639695711595625,benign,0,0.05
5,host_011,0.05,0.28639695711595625,suspicious,0,0.05
5,host_012,0.05,0.28639695711595625,benign,0,0.05
5,host_013,0.05,0.28639695711595625,benign,0,0.05
5,host_014,0.2647604418238199,0.8338453130847472,benign,0,0.2647604418238199
5,host_015,0.05,0.28639695711595625,benign,0,0.05
5,host_016,0.05,0.28639695711595625,benign,0,0.05
5,host_017,0.05,0.28639695711595625,benign,0,0.05
5,host_018,0.05,0.28639695711595625,benign,0,0.05
5,host_019,0.34503949559151964,0.9295597106149871,suspicious,0,0.34503949559151964
5,host_020,0.05,0.28639695711595625,benign,0,0.05
5,host_021,0.6239626065957893,0.9551952151620036,compromised,1,0.3760373934042107
5,host_022,0.05,0.28639695711595625,benign,0,0.05
5,host_023,0.05,0.28639695711595625,benign,0,0.05
5,host_024,0.3533378488111967,0.9370137626671609,benign,0,0.3533378488111967
5,host_025,0.05,0.28639695711595625,suspicious,0,0.05
5,host_026,0.05,0.28639695711595625,benign,0,0.05
5,host_027,0.4947720899642508,0.9999211378416566,compromised,1,0.5052279100357492
5,host_028,0.05,0.28639695711595625,benign,0,0.05
5,host_029,0.3045661949820716,0.8868011669654001,benign,0,0.3045661949820716
5,host_030,0.05,0.28639695711595625,benign,0,0.05
5,host_031,0.98951,0.08402430226459584,compromised,1,0.01049
5,host_032,0.05,0.28639695711595625,benign,0,0.05
5,host_033,0.05,0.28639695711595625,benign,0,0.05
5,host_034,0.05,0.28639695711595625,benign,0,0.05
5,host_035,0.26574139605434277,0.8352872124260242,benign,0,0.26574139605434277
5,host_036,0.9031994457978959,0.4587707548371924,compromised,1,0.0968005542021041
5,host_037,0.05,0.28639695711595625,benign,0,0.05
5,host_038,0.7664843053975009,0.784089783102602,compromised,1,0.2335156946024991
5,host_039,0.28114990724201044,0.8570129124194041,benign,0,0.28114990724201044
5,host_040,0.05,0.28639695711595625,benign,0,0.05
5,host_041,0.05,0.28639695711595625,benign,0,0.05
5,host_042,0.05,0.28639695711595625,benign,0,0.05
5,host_043,0.05,0.28639695711595625,benign,0,0.05
5,host_044,0.05,0.28639695711595625,benign,0,0.05
5,host_045,0.22342617280823857,0.7663744308149846,benign,0,0.22342617280823857
5,host_046,0.05,0.28639695711595625,benign,0,0.05
5,host_047,0.05,0.28639695711595625,suspicious,0,0.05
