event_id,delivery_time,generated_time,host_id,event_type,event_score,is_synthetic_flood,belief_before,belief_after,belief_delta,entropy_before,entropy_after,entropy_delta
flood_event_000352,0,0,host_047,low_value_network_alert,0.16229787888287694,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
event_000004,0,0,host_049,auth_alert,0.6435214279436698,False,0.05,0.29088035698591747,0.24088035698591748,0.28639695711595625,0.8698557480683076,0.5834587909523513
flood_event_001685,1,1,host_003,low_value_network_alert,0.05726113522089504,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_003502,1,1,host_003,low_value_network_alert,0.14089234563283937,True,0.010000000000000002,0.001,-0.009000000000000001,0.0807931358959112,0.011407757737461138,-0.06938537815845006
flood_event_010020,1,1,host_003,low_value_network_alert,0.07043338489441174,True,0.001,0.001,0.0,0.011407757737461138,0.011407757737461138,0.0
event_000005,1,1,host_004,endpoint_alert,0.8124987210832572,False,0.3492851889721927,0.732409869243007,0.3831246802708143,0.9334280478903856,0.8379853312601305,-0.09544271663025505
flood_event_005359,1,1,host_004,low_value_network_alert,0.16278310531687465,True,0.732409869243007,0.692409869243007,-0.040000000000000036,0.8379853312601305,0.8903720655124523,0.052386734252321765
flood_event_011543,1,1,host_005,low_value_network_alert,0.19460474209584464,True,0.010400000000000001,0.001,-0.009400000000000002,0.08343337126816652,0.011407757737461138,-0.07202561353070538
flood_event_010311,1,1,host_006,low_value_network_alert,0.186752817800803,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
event_000006,1,1,host_021,auth_alert,0.6342181870947439,False,0.010400000000000001,0.24895454677368598,0.23855454677368598,0.08343337126816652,0.8096169115129124,0.7261835402447459
flood_event_003873,1,1,host_022,low_value_network_alert,0.1789232060247318,True,0.010400000000000001,0.001,-0.009400000000000002,0.08343337126816652,0.011407757737461138,-0.07202561353070538
flood_event_007795,1,1,host_022,low_value_network_alert,0.0505659873433173,True,0.001,0.001,0.0,0.011407757737461138,0.011407757737461138,0.0
flood_event_005221,1,1,host_023,low_value_network_alert,0.17375924546752122,True,0.010400000000000001,0.001,-0.009400000000000002,0.08343337126816652,0.011407757737461138,-0.07202561353070538
flood_event_008487,1,1,host_023,low_value_network_alert,0.07989613780017012,True,0.001,0.001,0.0,0.011407757737461138,0.011407757737461138,0.0
flood_event_007693,1,1,host_027,low_value_network_alert,0.09302765435297161,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_008657,1,1,host_029,low_value_network_alert,0.22809346143074757,True,0.010400000000000001,0.001,-0.009400000000000002,0.08343337126816652,0.011407757737461138,-0.07202561353070538
event_000007,1,1,host_031,endpoint_alert,0.6333069693401183,False,0.3945197813218771,0.7328465236569066,0.3383267423350295,0.9676544653980874,0.8373503335495945,-0.13030413184849288
flood_event_006700,1,1,host_032,low_value_network_alert,0.1432482684582753,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
event_000008,1,1,host_036,network_alert,0.8959253435070019,False,0.3831599328433115,0.727141268720062,0.3439813358767505,0.9602432446511731,0.8455368925616586,-0.11470635208951441
flood_event_002873,1,1,host_038,low_value_network_alert,0.24079563645341684,True,0.00149,0.001,-0.00049,0.016139816562729933,0.011407757737461138,-0.004732058825268795
flood_event_005360,1,1,host_038,low_value_network_alert,0.10587666795677074,True,0.001,0.001,0.0,0.011407757737461138,0.011407757737461138,0.0
flood_event_011256,1,1,host_040,low_value_network_alert,0.20862875165074424,True,0.010400000000000001,0.001,-0.009400000000000002,0.08343337126816652,0.011407757737461138,-0.07202561353070538
flood_event_007251,1,1,host_046,low_value_network_alert,0.22860815771440035,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_000478,1,1,host_048,low_value_network_alert,0.15353230425754583,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_004374,1,1,host_048,low_value_network_alert,0.1590758553143815,True,0.010000000000000002,0.001,-0.009000000000000001,0.0807931358959112,0.011407757737461138,-0.06938537815845006
flood_event_000193,2,2,host_000,low_value_network_alert,0.24023893200076823,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_007470,2,2,host_001,low_value_network_alert,0.2332892205181889,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
event_000009,2,2,host_004,endpoint_alert,0.6158133860675191,False,0.6859857705505769,0.999,0.31301422944942314,0.8977529821451357,0.011407757737461145,-0.8863452244076745
flood_event_000211,2,2,host_004,low_value_network_alert,0.060331583402879786,True,0.999,0.959,-0.040000000000000036,0.011407757737461145,0.24685851466035832,0.2354507569228972
flood_event_000095,2,2,host_005,low_value_network_alert,0.09819411500113695,True,0.00149,0.001,-0.00049,0.016139816562729933,0.011407757737461138,-0.004732058825268795
flood_event_009896,2,2,host_005,low_value_network_alert,0.06560897040147076,True,0.001,0.001,0.0,0.011407757737461138,0.011407757737461138,0.0
flood_event_008908,2,2,host_006,low_value_network_alert,0.0972134242417243,True,0.010400000000000001,0.001,-0.009400000000000002,0.08343337126816652,0.011407757737461138,-0.07202561353070538
flood_event_005875,2,2,host_009,low_value_network_alert,0.07288899752447223,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_003874,2,2,host_011,low_value_network_alert,0.21236936922973704,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_000697,2,2,host_015,low_value_network_alert,0.08115153419491589,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_003242,2,2,host_016,low_value_network_alert,0.2277007533579687,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
event_000010,2,2,host_019,endpoint_alert,0.49628279774180833,False,0.05,0.35407069943545205,0.30407069943545206,0.28639695711595625,0.9376510869299901,0.6512541298140339
flood_event_000309,2,2,host_019,low_value_network_alert,0.058189392057143956,True,0.35407069943545205,0.31407069943545207,-0.03999999999999998,0.9376510869299901,0.897816632833037,-0.039834454096953076
flood_event_009542,2,2,host_020,low_value_network_alert,0.1196546675355914,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
event_000011,2,2,host_021,endpoint_alert,0.7014507519749196,False,0.24696500130594912,0.602327689299679,0.35536268799372983,0.8064322317832129,0.9695726880664589,0.16314045628324603
flood_event_001557,2,2,host_026,low_value_network_alert,0.17648924693815726,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_006198,2,2,host_027,low_value_network_alert,0.12492920391004408,True,0.010400000000000001,0.001,-0.009400000000000002,0.08343337126816652,0.011407757737461138,-0.07202561353070538
flood_event_001801,2,2,host_029,low_value_network_alert,0.09400966409532158,True,0.00149,0.001,-0.00049,0.016139816562729933,0.011407757737461138,-0.004732058825268795
flood_event_005603,2,2,host_029,low_value_network_alert,0.17909650197155114,True,0.001,0.001,0.0,0.011407757737461138,0.011407757737461138,0.0
flood_event_000804,2,2,host_035,low_value_network_alert,0.13650311864847323,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
event_000012,2,2,host_036,network_alert,0.6874813165400547,False,0.7203698560328614,0.999,0.2786301439671386,0.8549463662017569,0.011407757737461145,-0.8435386084642957
flood_event_000225,2,2,host_036,low_value_network_alert,0.22682914227336345,True,0.999,0.959,-0.040000000000000036,0.011407757737461145,0.24685851466035832,0.2354507569228972
flood_event_001324,2,2,host_041,low_value_network_alert,0.2192686033979939,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_001514,2,2,host_044,low_value_network_alert,0.12559773463944676,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_001630,2,2,host_045,low_value_network_alert,0.18922327152260257,True,0.22873477434093878,0.18873477434093877,-0.04000000000000001,0.775799202446127,0.6988171899595994,-0.07698201248652758
flood_event_004867,2,2,host_045,low_value_network_alert,0.16795104777612124,True,0.18873477434093877,0.14873477434093876,-0.04000000000000001,0.6988171899595994,0.6066649993037196,-0.09215219065587976
flood_event_002345,2,2,host_046,low_value_network_alert,0.09891256865717464,True,0.010400000000000001,0.001,-0.009400000000000002,0.08343337126816652,0.011407757737461138,-0.07202561353070538
flood_event_005907,2,2,host_046,low_value_network_alert,0.19487107474999363,True,0.001,0.001,0.0,0.011407757737461138,0.011407757737461138,0.0
flood_event_006533,2,2,host_048,low_value_network_alert,0.21547577091212844,True,0.00149,0.001,-0.00049,0.016139816562729933,0.011407757737461138,-0.004732058825268795
event_000013,2,2,host_049,endpoint_alert,0.9771027143412181,False,0.2860868378818977,0.7103625164672023,0.42427567858530457,0.8636125652860227,0.8682524993251042,0.0046399340390814725
flood_event_000600,3,3,host_001,low_value_network_alert,0.1601817536980806,True,0.010400000000000001,0.001,-0.009400000000000002,0.08343337126816652,0.011407757737461138,-0.07202561353070538
flood_event_001221,3,3,host_002,low_value_network_alert,0.1578875517328779,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
event_000014,3,3,host_004,endpoint_alert,0.8933647242021754,False,0.9499099999999999,0.999,0.04909000000000008,0.28677914765328905,0.011407757737461145,-0.2753713899158279
flood_event_004946,3,3,host_004,low_value_network_alert,0.22953244208682094,True,0.999,0.959,-0.040000000000000036,0.011407757737461145,0.24685851466035832,0.2354507569228972
flood_event_005395,3,3,host_005,low_value_network_alert,0.21325795404979758,True,0.00149,0.001,-0.00049,0.016139816562729933,0.011407757737461138,-0.004732058825268795
flood_event_004620,3,3,host_011,low_value_network_alert,0.14872728171284946,True,0.010400000000000001,0.001,-0.009400000000000002,0.08343337126816652,0.011407757737461138,-0.07202561353070538
flood_event_005868,3,3,host_015,low_value_network_alert,0.2117682282399368,True,0.010400000000000001,0.001,-0.009400000000000002,0.08343337126816652,0.011407757737461138,-0.07202561353070538
flood_event_000116,3,3,host_016,low_value_network_alert,0.1692085106468746,True,0.010400000000000001,0.001,-0.009400000000000002,0.08343337126816652,0.011407757737461138,-0.07202561353070538
flood_event_005350,3,3,host_017,low_value_network_alert,0.13153884852223982,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_007930,3,3,host_018,low_value_network_alert,0.22631380060986284,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
flood_event_008626,3,3,host_023,low_value_network_alert,0.09051324057983189,True,0.0019751,0.001,-0.0009751,0.020590670221645797,0.011407757737461138,-0.009182912484184659
event_000015,3,3,host_024,auth_alert,0.08954666533595632,False,0.05,0.15238666633398906,0.10238666633398906,0.28639695711595625,0.6157808507939632,0.3293838936780069
flood_event_006302,3,3,host_027,low_value_network_alert,0.20098589015795976,True,0.00149,0.001,-0.00049,0.016139816562729933,0.011407757737461138,-0.004732058825268795
flood_event_011562,3,3,host_030,low_value_network_alert,0.09820689114473834,True,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506
