experiment_slug,generated_events,delivered_events,synthetic_flood_events,duplicate_events,delayed_events,missing_generated_events,delivery_rate,represented_delivery_rate,updated_events,useful_events,stale_events,redundant_events,misleading_events,uninformative_events,flood_events,useful_event_fraction,stale_event_fraction,redundant_event_fraction,misleading_event_fraction,mean_latency,mean_belief_delta,mean_entropy_delta,mean_belief_error_delta,belief_mean_belief_entropy,belief_mean_belief_error,belief_terminal_belief_entropy,belief_terminal_belief_error
exp01_synthetic_baseline,2331,2331,0,0,0,0,1.0,1.0,2331,2255,0,0,76,0,0,0.9673959673959674,0.0,0.0,0.03260403260403261,0.0,0.03339617999799031,-0.09866174626400835,-0.019820883628005128,0.1885274816584029,0.06173024259623453,0.06943796661885533,0.011431047718932783
exp02_delay_impairment,2331,2331,0,0,707,0,1.0,1.0,2280,1277,656,285,62,0,0,0.5478335478335479,0.28142428142428144,0.12226512226512226,0.026598026598026597,1.4385964912280702,0.03388338616270824,-0.09564613494510318,-0.020255124416196344,0.20295614057242892,0.06698121499375934,0.08665233696195239,0.014120535881057193
exp03_loss_impairment,2331,1624,0,0,0,707,0.6966966966966966,0.6966966966966966,1624,1562,0,0,62,0,0,0.9618226600985221,0.0,0.0,0.038177339901477834,0.0,0.04712566599194045,-0.1267515361784616,-0.030139435576222937,0.21146872702342506,0.06506263885654102,0.10341447150285824,0.016847674288003135
exp04_noise_impairment,2331,2319,0,0,0,478,0.9948519948519948,0.7949377949377949,2319,1955,0,210,154,0,0,0.8430357912893489,0.0,0.09055627425614489,0.06640793445450625,0.0,0.03542841214963788,-0.10012507597026585,-0.012143444452158064,0.2189542650153185,0.11868412991072046,0.06158228289684477,0.0488274673529605
exp05_adversarial_suppression,2331,1165,0,0,0,1166,0.4997854997854998,0.4997854997854998,1165,1089,0,0,76,0,0,0.934763948497854,0.0,0.0,0.06523605150214593,0.0,0.06492471532643918,-0.15592437582321728,-0.03776246997155894,0.2609596567702747,0.08548474446984376,0.17619469548930605,0.032066949261020355
exp06_alert_flood,2331,13986,11655,0,0,0,6.0,1.0,13986,2254,0,0,77,0,11655,0.16116116116116116,0.0,0.0,0.0055055055055055055,0.0,0.0039988203206331565,-0.003856515941540776,-0.0038322096345751286,0.4638815500467178,0.16378931828601936,0.6630021574799605,0.2601761177576162
