event_id,host_id,generated_time,delivery_time,latency,event_type,event_score,is_synthetic_flood,true_state_at_generated_time,true_state_at_delivery_time,true_compromised_at_delivery_time,belief_before,belief_after,belief_delta,entropy_before,entropy_after,entropy_delta,belief_error_before,belief_error_after,belief_error_delta,usefulness_label
event_000000,host_004,0,0,0,network_alert,0.8892330867563341,False,compromised,compromised,1,0.05,0.3923082716890835,0.3423082716890835,0.28639695711595625,0.966273013080417,0.6798760559644608,0.95,0.6076917283109164,-0.3423082716890835,useful
flood_event_009500,host_004,0,0,0,low_value_network_alert,0.246486118044839,True,compromised,compromised,1,0.3923082716890835,0.3523082716890835,-0.03999999999999998,0.966273013080417,0.9361126606006025,-0.030160352479814523,0.6076917283109164,0.6476917283109165,0.040000000000000036,flood
flood_event_005477,host_005,0,0,0,low_value_network_alert,0.24407843257628592,True,benign,benign,0,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506,0.05,0.010000000000000002,-0.04,flood
flood_event_008540,host_012,0,0,0,low_value_network_alert,0.12228538148825133,True,benign,benign,0,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506,0.05,0.010000000000000002,-0.04,flood
flood_event_000487,host_013,0,0,0,low_value_network_alert,0.17162584238291834,True,benign,benign,0,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506,0.05,0.010000000000000002,-0.04,flood
flood_event_005082,host_021,0,0,0,low_value_network_alert,0.24069256935218172,True,compromised,compromised,1,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506,0.95,0.99,0.040000000000000036,flood
flood_event_005499,host_022,0,0,0,low_value_network_alert,0.23180982811201295,True,benign,benign,0,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506,0.05,0.010000000000000002,-0.04,flood
flood_event_007023,host_023,0,0,0,low_value_network_alert,0.23739968644141454,True,benign,benign,0,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506,0.05,0.010000000000000002,-0.04,flood
flood_event_008428,host_025,0,0,0,low_value_network_alert,0.20278754563941756,True,benign,benign,0,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506,0.05,0.010000000000000002,-0.04,flood
flood_event_006458,host_029,0,0,0,low_value_network_alert,0.21765585521218736,True,benign,benign,0,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506,0.05,0.010000000000000002,-0.04,flood
