event_id,delivery_time,generated_time,host_id,event_type,event_score,is_synthetic_flood,belief_before,belief_after,belief_delta,entropy_before,entropy_after,entropy_delta
event_000000,0,0,host_004,network_alert,0.8892330867563341,False,0.05,0.3923082716890835,0.3423082716890835,0.28639695711595625,0.966273013080417,0.6798760559644608
event_000002,0,0,host_036,network_alert,0.8661007387608547,False,0.05,0.38652518469021363,0.33652518469021364,0.28639695711595625,0.9625204774002205,0.6761235202842643
event_000003,0,0,host_045,network_alert,0.24945525697760965,False,0.05,0.2323638142444024,0.1823638142444024,0.28639695711595625,0.7821092580413247,0.49571230092536844
event_000005,1,1,host_004,endpoint_alert,0.8124987210832572,False,0.38888518897219265,0.7720098692430069,0.3831246802708142,0.9640763521372211,0.7744911626678539,-0.1895851894693672
event_000006,1,1,host_021,auth_alert,0.6342181870947439,False,0.05,0.28855454677368597,0.23855454677368598,0.28639695711595625,0.8668467318596339,0.5804497747436776
event_000007,1,1,host_031,endpoint_alert,0.6333069693401183,False,0.05,0.38832674233502956,0.3383267423350296,0.28639695711595625,0.9637112427968937,0.6773142856809374
event_000010,2,2,host_019,endpoint_alert,0.49628279774180833,False,0.05,0.35407069943545205,0.30407069943545206,0.28639695711595625,0.9376510869299901,0.6512541298140339
event_000011,2,2,host_021,endpoint_alert,0.7014507519749196,False,0.28616900130594913,0.641531689299679,0.35536268799372983,0.8637209392781812,0.9414044224913982,0.07768348321321705
event_000012,2,2,host_036,network_alert,0.6874813165400547,False,0.3798283335148784,0.671698662649892,0.2918703291350136,0.9579206893113323,0.9131814353840384,-0.04473925392729394
event_000013,2,2,host_049,endpoint_alert,0.9771027143412181,False,0.05,0.4742756785853045,0.4242756785853045,0.28639695711595625,0.998089776676022,0.7116928195600657
event_000015,3,3,host_024,auth_alert,0.08954666533595632,False,0.05,0.15238666633398906,0.10238666633398906,0.28639695711595625,0.6157808507939632,0.3293838936780069
event_000016,3,3,host_038,endpoint_alert,0.8518884008501613,False,0.05,0.4429721002125403,0.3929721002125403,0.28639695711595625,0.9905957363279251,0.7041987792119688
event_000018,4,4,host_002,auth_alert,0.2988285844648209,False,0.05,0.20470714611620522,0.15470714611620523,0.28639695711595625,0.7312430733802844,0.44484611626432813
event_000019,4,4,host_004,endpoint_alert,0.8302860118660041,False,0.7505654541166203,0.999,0.24843454588337965,0.8103806701761351,0.011407757737461145,-0.798972912438674
event_000020,4,4,host_027,auth_alert,0.308459206534576,False,0.05,0.20711480163364399,0.157114801633644,0.28639695711595625,0.7359314713673393,0.449534514251383
event_000022,4,4,host_036,auth_alert,0.6899630510196705,False,0.6593268592631591,0.9118176220180767,0.25249076275491755,0.9254613982870645,0.43037355506529823,-0.4950878432217663
event_000023,4,4,host_038,endpoint_alert,0.6187165655724857,False,0.4390423792104149,0.7737215206035363,0.3346791413931214,0.9892516575440206,0.7714672306052899,-0.21778442693873068
event_000024,5,5,host_004,endpoint_alert,0.9258774147665718,False,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347
event_000029,6,6,host_004,auth_alert,0.8499880483154005,False,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347
event_000030,6,6,host_031,endpoint_alert,0.8607166187400705,False,0.37174536557569415,0.7669245202607118,0.39517915468501763,0.9520028097861255,0.7833341491574821,-0.16866866062864339
event_000031,6,6,host_032,auth_alert,0.29761985335889635,False,0.05,0.20440496333972408,0.1544049633397241,0.28639695711595625,0.7306510174996994,0.44425406038374315
event_000039,7,7,host_031,endpoint_alert,0.6551494967727188,False,0.7597552750581047,0.999,0.2392447249418953,0.7954470116041641,0.011407757737461145,-0.7840392538667029
event_000041,7,7,host_038,endpoint_alert,0.6453026599551429,False,0.7522262677200906,0.999,0.2467737322799094,0.8077304679875146,0.011407757737461145,-0.7963227102500534
event_000042,7,7,host_047,endpoint_alert,0.7204755463005503,False,0.05,0.41011888657513756,0.3601188865751376,0.28639695711595625,0.9765628528872698,0.6901658957713136
event_000044,8,8,host_011,network_alert,0.9368330969550089,False,0.05,0.4042082742387522,0.35420827423875223,0.28639695711595625,0.9733591103885904,0.6869621532726341
event_000045,8,8,host_013,endpoint_alert,0.9039507560902579,False,0.05,0.4559876890225644,0.40598768902256444,0.28639695711595625,0.9944035180817264,0.7080065609657702
event_000047,8,8,host_024,network_alert,0.30696440707236744,False,0.14736870092605495,0.3441098026941468,0.19674110176809187,0.6032161156089759,0.9286973133264245,0.32548119771744854
event_000048,8,8,host_025,auth_alert,0.8283193550191307,False,0.05,0.33707983875478265,0.28707983875478266,0.28639695711595625,0.9219968613757611,0.6355999042598048
event_000050,8,8,host_034,auth_alert,0.20752649089017836,False,0.05,0.1818816227225446,0.1318816227225446,0.28639695711595625,0.6841760781290582,0.397779121013102
event_000052,8,8,host_047,auth_alert,0.9446993764193616,False,0.40651769770938617,0.7226925418142266,0.3161748441048404,0.974635750334378,0.8517560419913071,-0.12287970834307094
event_000053,8,8,host_049,endpoint_alert,0.7862750661126028,False,0.4494471292617031,0.8260158957898538,0.3765687665281507,0.9926135033095479,0.6667380720180064,-0.3258754312915415
event_000054,9,9,host_011,endpoint_alert,0.9209019718491308,False,0.4006661914963647,0.8108916844586473,0.41022549296228267,0.9713389578195273,0.699602393904349,-0.2717365639151783
event_000055,9,9,host_019,endpoint_alert,0.8019361955817395,False,0.3334137622576263,0.7138978111530612,0.38048404889543486,0.9183762419814505,0.8636328169124778,-0.05474342506897267
event_000057,9,9,host_025,network_alert,0.7703187847376112,False,0.3342090403672348,0.6467887365516376,0.3125796961844028,0.919169052890552,0.9369033342131325,0.017734281322580592
event_000060,9,9,host_047,auth_alert,0.6155598449085735,False,0.7159656163960844,0.9498555776232278,0.23388996122714345,0.8608898720960968,0.28701013643991224,-0.5738797356561846
event_000062,10,10,host_004,network_alert,0.9513866335435577,False,0.96160561349,0.999,0.037394386510000044,0.23488144980763456,0.011407757737461145,-0.22347369207017342
event_000063,10,10,host_008,auth_alert,0.5701222514669936,False,0.05,0.27253056286674837,0.22253056286674838,0.28639695711595625,0.8450724440472666,0.5586754869313103
event_000064,10,10,host_018,endpoint_alert,0.25318621980931916,False,0.05,0.29329655495232976,0.24329655495232977,0.28639695711595625,0.8729416367980214,0.5865446796820651
event_000065,10,10,host_019,endpoint_alert,0.9403412549258048,False,0.7072588330415306,0.999,0.2917411669584694,0.8722359172843024,0.011407757737461145,-0.8608281595468412
event_000066,10,10,host_021,network_alert,0.7322519408956154,False,0.5958327278872636,0.8988957131111674,0.30306298522390385,0.9733361560843359,0.4724863581543689,-0.500849797929967
event_000071,10,10,host_040,auth_alert,0.24036207948553914,False,0.05,0.1900905198713848,0.14009051987138482,0.28639695711595625,0.7016607820377243,0.41526382492176805
event_000072,10,10,host_049,network_alert,0.8012259810083274,False,0.8105731794636357,0.999,0.18842682053636428,0.7002708718052404,0.011407757737461145,-0.6888631140677792
event_000077,11,11,host_027,auth_alert,0.7461116636361727,False,0.19644126224600011,0.4629691781550433,0.2665279159090432,0.7147532654856843,0.9960396920806394,0.28128642659495506
event_000078,11,11,host_031,endpoint_alert,0.7583116605662762,False,0.96160561349,0.999,0.037394386510000044,0.23488144980763456,0.011407757737461145,-0.22347369207017342
event_000079,11,11,host_032,auth_alert,0.3088293691222634,False,0.19683758379125188,0.3540449260718177,0.15720734228056582,0.7155579945238454,0.9376287305964344,0.22207073607258898
event_000080,11,11,host_033,endpoint_alert,0.19685060195216242,False,0.05,0.2792126504880406,0.22921265048804063,0.28639695711595625,0.8543757722593615,0.5679788151434052
event_000082,11,11,host_036,endpoint_alert,0.6921434841507664,False,0.8532703416986536,0.999,0.14572965830134643,0.6015953981174615,0.011407757737461145,-0.5901876403800004
event_000083,11,11,host_045,auth_alert,0.3552821486554123,False,0.21327729908554408,0.3820978362493972,0.16882053716385312,0.7477006523473346,0.9595101935638106,0.211809541216476
event_000086,12,12,host_002,network_alert,0.2357357259280922,False,0.19275519826881338,0.37168912975083646,0.17893393148202308,0.7071996712669947,0.9519602275502093,0.24476055628321458
event_000089,12,12,host_018,auth_alert,0.26755499625526064,False,0.28845495350877837,0.4353437025725935,0.14688874906381516,0.8667170356282583,0.9879039654224413,0.121186929794183
event_000091,12,12,host_025,endpoint_alert,0.97687430085291,False,0.6290635142873174,0.999,0.36993648571268256,0.9513884382639819,0.011407757737461145,-0.9399806805265207
event_000092,12,12,host_026,auth_alert,0.34792537457915196,False,0.05,0.216981343644788,0.166981343644788,0.28639695711595625,0.7546170935325494,0.4682201364165931
event_000095,12,12,host_035,endpoint_alert,0.6878866050810039,False,0.05,0.401971651270251,0.351971651270251,0.28639695711595625,0.9720922588219593,0.685695301706003
event_000097,12,12,host_046,network_alert,0.20606902011379816,False,0.05,0.22151725502844954,0.17151725502844956,0.28639695711595625,0.7629283048655597,0.4765313477496035
event_000099,13,13,host_011,network_alert,0.8778316711280623,False,0.7809095161331556,0.999,0.21809048386684438,0.7585032724467349,0.011407757737461145,-0.7470955147092737
event_000100,13,13,host_013,auth_alert,0.9435098505336552,False,0.43609025264235424,0.751967715275768,0.31587746263341376,0.9881824492677806,0.8081444474250111,-0.18003800184276952
event_000101,13,13,host_019,network_alert,0.7433149785351586,False,0.970813751,0.999,0.028186248999999997,0.19029437640122285,0.011407757737461145,-0.1788866186637617
event_000103,13,13,host_027,auth_alert,0.7433382734955415,False,0.45475109150975795,0.7205856598836433,0.26583456837388536,0.9940841780467671,0.8546515801186755,-0.1394325979280916
event_000104,13,13,host_029,auth_alert,0.5738248293574708,False,0.05,0.2734562073393677,0.22345620733936772,0.28639695711595625,0.8463804751127135,0.5599835179967573
event_000105,13,13,host_036,endpoint_alert,0.6705911312510131,False,0.9801149,0.999,0.018885099999999988,0.14079492558718532,0.011407757737461145,-0.12938716784972418
event_000109,14,14,host_013,endpoint_alert,0.8888056892627332,False,0.7449480381230104,0.999,0.25405196187698964,0.8191875412547002,0.011407757737461145,-0.807779783517239
event_000113,14,14,host_027,network_alert,0.9374357548701203,False,0.7138798032848069,0.999,0.28512019671519306,0.8636565715136928,0.011407757737461145,-0.8522488137762316
event_000115,14,14,host_035,network_alert,0.6621592135298418,False,0.394967415409973,0.6805072187924335,0.2855398033824605,0.9679304902779531,0.9038290230393051,-0.06410146723864796
event_000116,14,14,host_036,endpoint_alert,0.6962101503281085,False,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347
event_000117,14,14,host_038,network_alert,0.722182536763286,False,0.9345300151637335,0.999,0.06446998483626654,0.34878644763509764,0.011407757737461145,-0.3373786898976365
event_000119,14,14,host_049,endpoint_alert,0.901893671588436,False,0.96160561349,0.999,0.037394386510000044,0.23488144980763456,0.011407757737461145,-0.22347369207017342
event_000120,15,15,host_007,network_alert,0.13426891578924655,False,0.05,0.2035672289473116,0.15356722894731162,0.28639695711595625,0.7290054359303668,0.44260847881441057
event_000121,15,15,host_008,endpoint_alert,0.6490314217291758,False,0.26162435108492416,0.603882206517218,0.34225785543229387,0.8291876614156484,0.9686343006126943,0.13944663919704592
event_000129,15,15,host_045,auth_alert,0.5698946189397112,False,0.3690118564308043,0.5914855111657321,0.2224736547349278,0.9499103470612604,0.9757138571872227,0.02580351012596227
