scenario,impairment_mode,belief_config,auth_alert_weight,endpoint_alert_weight,network_alert_weight,score_weight,generated_events,delivered_events,useful_events,redundant_events,misleading_events,uninformative_events,useful_event_fraction,redundant_event_fraction,misleading_event_fraction,mean_belief_delta,mean_entropy_delta,mean_belief_error_delta,mean_belief_entropy,mean_belief_error,terminal_belief_entropy,terminal_belief_error,saturated_updates,saturated_update_fraction
empire_mimikatz_logonpasswords,healthy,default,0.08,0.18,0.12,0.25,6026,6026,7,5986,33,0,0.0011616329239960172,0.9933620975771656,0.005476269498838367,0.0004834766013939595,-0.00022125512941012748,0.0004803269166943246,0.02351051515865026,0.9142516666666666,0.059818787422217606,0.9926733333333333,5986,0.9933620975771656
empire_mimikatz_logonpasswords,healthy,half_weights,0.04,0.09,0.06,0.125,6026,6026,7,5957,62,0,0.0011616329239960172,0.9885496183206107,0.010288748755393295,0.0004834766013939595,-0.00022125512941012748,0.0004803269166943246,0.02351051515865026,0.9142516666666666,0.059818787422217606,0.9926733333333333,5957,0.9885496183206107
empire_mimikatz_logonpasswords,healthy,quarter_weights,0.02,0.045,0.03,0.0625,6026,6026,7,5910,109,0,0.0011616329239960172,0.9807500829737803,0.018088284102223698,0.0004834766013939595,-0.00022125512941012748,0.0004803269166943246,0.02351051515865026,0.9142516666666666,0.059818787422217606,0.9926733333333333,5910,0.9807500829737803
empire_mimikatz_logonpasswords,healthy,low_weights,0.01,0.025,0.015,0.035,6026,6026,30,5843,110,43,0.004978426817125788,0.9696315964155326,0.018254231662794558,0.0004829704613342184,-0.00021044387262280455,0.00047982077663458346,0.096601706939597,0.8888349999999999,0.059818787422217606,0.9926733333333333,5835,0.9683040159309658
