event_id,host_id,generated_time,delivery_time,latency,event_type,event_score,is_synthetic_flood,true_state_at_generated_time,true_state_at_delivery_time,true_compromised_at_delivery_time,belief_before,belief_after,belief_delta,entropy_before,entropy_after,entropy_delta,belief_error_before,belief_error_after,belief_error_delta,usefulness_label
event_000076,host_025,11,11,0,endpoint_alert,0.7961133644777026,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
event_000077,host_027,11,11,0,auth_alert,0.7461116636361727,False,compromised,compromised,1,0.7064297983085986,0.9729577142176418,0.2665279159090431,0.87328856412325,0.17933494716336168,-0.6939536169598883,0.29357020169140136,0.027042285782358233,-0.2665279159090431,useful
noise_event_000326,host_028,11,11,0,auth_alert,0.4004520697756139,False,benign,benign,0,0.05,0.23011301744390344,0.18011301744390346,0.28639695711595625,0.778208266313636,0.4918113091976798,0.05,0.23011301744390344,0.18011301744390346,misleading
event_000078,host_031,11,11,0,endpoint_alert,0.7583116605662762,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
event_000079,host_032,11,11,0,auth_alert,0.3088293691222634,False,benign,benign,0,0.19683758379125188,0.3540449260718177,0.15720734228056582,0.7155579945238454,0.9376287305964344,0.22207073607258898,0.19683758379125188,0.3540449260718177,0.15720734228056582,misleading
event_000080,host_033,11,11,0,endpoint_alert,0.19685060195216242,False,benign,benign,0,0.05,0.2792126504880406,0.22921265048804063,0.28639695711595625,0.8543757722593615,0.5679788151434052,0.05,0.2792126504880406,0.22921265048804063,misleading
event_000081,host_035,11,11,0,network_alert,0.9196574083616834,False,compromised,compromised,1,0.25311624178922293,0.6030305938796439,0.34991435209042093,0.8161799936896827,0.96915018216964,0.15297018847995725,0.746883758210777,0.39696940612035614,-0.3499143520904209,useful
event_000082,host_036,11,11,0,endpoint_alert,0.6921434841507664,False,compromised,compromised,1,0.96160561349,0.999,0.037394386510000044,0.23488144980763456,0.011407757737461145,-0.22347369207017342,0.038394386510000045,0.0010000000000000009,-0.037394386510000044,useful
event_000086,host_002,12,12,0,network_alert,0.2357357259280922,False,benign,benign,0,0.19275519826881338,0.37168912975083646,0.17893393148202308,0.7071996712669947,0.9519602275502093,0.24476055628321458,0.19275519826881338,0.37168912975083646,0.17893393148202308,misleading
noise_event_000409,host_002,12,12,0,endpoint_alert,0.2247111192799288,False,benign,benign,0,0.37168912975083646,0.6078669095708187,0.23617777981998223,0.9519602275502093,0.9661623191984179,0.014202091648208626,0.37168912975083646,0.6078669095708187,0.23617777981998223,misleading
event_000087,host_011,12,12,0,network_alert,0.7209916647748147,False,compromised,compromised,1,0.7882924405385411,0.999,0.21070755946145892,0.7447340243608813,0.011407757737461145,-0.7333262666234202,0.21170755946145892,0.0010000000000000009,-0.21070755946145892,useful
